iso,Bloc,Eastern,Western,Neutral,Trade,Output,Welfare
TGO,Neutral,-25.494909940355768,2.0619680518130963,1.219725250899188,-2.518470027780012,-0.8349348368848553,-1.5033020319498434
THA,Neutral,-26.87105435132169,2.6889646683502377,3.4386393736310765,-4.797450391762766,-1.1204005489225466,-2.0149504478885234
TJK,Eastern,6.51514389482422,-44.307599103374656,-30.528913342777727,-6.723216110120873,-0.5987909739821902,-1.079155664657108
TLS,Western,-21.088727723820256,6.8156357829908245,5.80180677515763,0.22081330655289833,-0.11389242321908455,-0.2056622533371666
TON,Western,-42.40098599948808,5.808043300007654,3.1816759101619,0.0827581477481516,-0.06332435479444598,-0.11437184870327144
TUN,Neutral,-11.893888888980044,1.6381727843438654,1.9700759012756777,-0.544160122488961,-0.34757268801392627,-0.6270405229358573
TUR,Western,-41.62827198786702,2.9980478656148506,1.8137197420750084,-4.602239354084688,-0.5846704871057966,-1.053767576531314
TUV,Western,-24.300041410655055,3.8184917015567237,0.4589278595828006,1.4853995867631795,0.27804239511756634,0.5028714110754748
TZA,Neutral,-21.192551059789338,4.518872267809499,3.210650234587348,-2.3650518541675183,-0.17155535676906197,-0.3097155190956187
UGA,Neutral,-20.456594887362257,4.061418921578493,3.322480605906236,-0.9049641447953576,-0.1442821317194074,-0.26050678736878297
UKR,Western,-42.97423810791481,4.576831935644094,1.7681106872075816,-9.77354032198403,-1.758357520169227,-3.1540766080783555
URY,Western,-32.85073975667615,2.611930014504509,2.1689820479609665,-7.153635348186384,-0.4494253844235203,-0.8104547866380329
USA,Western,-37.78176061346496,3.057587979210382,2.4480960719150744,-4.024251756437579,-0.18719141057759714,-0.33792256142885435
UZB,Eastern,6.556781265053715,-31.504689647711487,1.8694252187274003,-11.18213190452974,-1.182003135330561,-2.1252064462079403
VEN,Neutral,-27.7013566273058,2.5763712146768256,4.217873554927465,-3.5293528980874385,-0.06334033224352709,-0.11440069863691349
VUT,Neutral,-30.465415295172747,4.7425589624927795,0.6799904597290265,-0.47915038058386017,-0.03457407248303923,-0.062452420404625286
YEM,Neutral,-26.85909696440885,-1.6748123346786201,-0.8975079762761169,-7.86893306578483,-0.3484938022741204,-0.6286999246226372
ZAF,Neutral,-26.211602133977195,2.1848830539328787,2.0477212720774105,-4.971675127819324,-0.6808674254944975,-1.2266683483634893
ZMB,Neutral,-24.865887657093396,1.1855579436184627,1.8186290102075588,-7.639307550239835,-1.105087272894636,-1.9875342231954107
ZWE,Eastern,-1.0571090043624594,-58.10672884131041,-23.632921579950363,-25.22537804118552,-1.579982399210266,-2.8361717476710737
